# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-014723.log
0|6524|INIT |DLL_PROCESS_ATTACH pid=14072
3|6524|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
20578|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000010
20579|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x10 pCoPTag=0158839C ts=0 pData=0217BD20
20580|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x10 pCoPTag=0158839C ts=0 pData=0217BD50
20581|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
20582|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000011
20582|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x11 pCoPTag=015883A0 ts=0 pData=0217BD20
20583|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x11 pCoPTag=015883A0 ts=0 pData=0217BD50
20584|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
20585|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000012
20586|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x12 pCoPTag=0158839C ts=0 pData=0217C880
20596|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
20597|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000013
20597|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x13 pCoPTag=0158839C ts=0 pData=0217C8C0
20598|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x13 pCoPTag=0158839C ts=0 pData=0217C8D0
20599|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
20600|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000014
20600|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x14 pCoPTag=015883A0 ts=0 pData=0217C8C0
20602|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x14 pCoPTag=015883A0 ts=0 pData=0217C8D0
20602|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x12 pCoPTag=0158839C ts=0 pData=0217C8C0
20603|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
20605|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000015
20605|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x15 pCoPTag=0158839C ts=0 pData=0217AAF0
20615|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
20616|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000016
20616|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x16 pCoPTag=0158839C ts=0 pData=0217ABC0
20617|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x16 pCoPTag=0158839C ts=0 pData=0217AAE0
20618|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
20619|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000017
20619|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x17 pCoPTag=015883A0 ts=0 pData=0217AA00
20620|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x17 pCoPTag=015883A0 ts=0 pData=0217AA90
20621|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x15 pCoPTag=0158839C ts=0 pData=0217AB60
20622|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
20624|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000018
20624|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x18 pCoPTag=0158839C ts=0 pData=0217AB00
20637|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
20637|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000019
20638|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x19 pCoPTag=0158839C ts=0 pData=0217ACE0
20639|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x19 pCoPTag=0158839C ts=0 pData=0217ADE0
20640|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
20641|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000001A
